,Date,Rating,Review Text,Review Title
0,8 December 2017,3," Not the greatest app especially not ezactly pay as you go freindly. Would be nice if the first page you see wasn't log in details as being a new customer of O2, I found this very confusing at first (couldn't register for one thing). At least one can see what one has left on your Balance. Personally, could be better organised- 1st class service though, very helpful staff in the shop!    ",
1,31 December 2017,5," Really useful to keep up-to-date with my data, minutes and texts. Also I can look at offers and upgrades, and if I need to add any bolt ons. There is also link to the online forum should I need it. Haven't had any problems with the app so far.    ",
2,10 January 2018,5," Great app. Easy to use. Integrates well with features on my phone like the fingerprint scanner. Gets a bit weird when you have two O2 contracts as you can't monitor multiple phones through the same app. However, this got sorted and I haven't had any issues since.    ",
3,3 January 2018,1, Tried using it today (4/01/18) and it keeps crashing out?! Can't remember when I last used it so don't know if the last update is the issue? I have an Honor 8 mobile phone. I've tried uninstalling and reinstalling but still no joy :-/    ,
4,14 December 2017,5," Love it. Quite simply, it does what it's supposed to. I can easily check how much data I have left in my allowance, as well as see what chargeable calls or texts I've made/sent in the last few days. Tells me what my next bill will be, and gives me a breakdown of it, as well as let me pay my current bill. Not much more to ask for really. Note, I use a Galaxy A5 (2017). Admittedly, it would be nice to have kept it so it still accepts my fingerprint, without having to set that option as my phone's lock screen security, but hey, a pin number is just as quick as far as I'm concerned.    ",
5,19 January 2018,4, Would get 5stars if I could transfer an account to my Son after transferring the actual account. I have to do his top ups if he needs any!    ,
6,11 December 2017,5," Does all I want, main purpose is to tell me how much data I still have. To be fair I don't use it for much else, the local shop staff are brilliant so I do everything else there ☺️    ",
7,11 December 2017,5, Decent enough app although it does crash on opening quite a lot! I'm happy that I can keep all the numbers on my contract in one place... it might be even better if all o2 apps could be in the same place as Well!    ,
8,17 December 2017,4, Does the intended job but suffers lots of start up crashes/errors. Great layout and I feel every aspect of my account is acessable    ,
9,29 December 2017,5," Really good. Always able to see what's left of my data and allowances. Only issue is that it keeps saying I have 1 bill ready, when I'm not the bill payer and it's from months ago.    ",
10,8 December 2017,2," Some update how they treat the customers. Just before the black friday 2017 i,v got the text from o2, that i have been selected as a loyality costumer to get??? a huge discount/deal for new phone/plan etc. They did text to me ""we will be contact with you after the upcoming black friday"", in fact that newer happen🤡🤡🤡🤡🤡🤡🤡🤡, they even did not contact with me after all. My question are we can trust them??????  Frankly i can wait the time when my contract comes to and end Alleluja😀😀😀😀😀.  Again my appeal to anyone who are about to sign up with them, just think twice before do that/this.    ",
11,14 January 2018,4," Really useful to keep tabs on everyone's usage, as I have both children on my contract. The only thing that lets it down is the technical issues that occur relatively frequently.    ",
12,15 January 2018,5," Handy, always seems to work and tells me what I want to know. The offers pop ups can be a bit tedious though.    ",
13,29 December 2017,3," It is a good app I can keep track of my bill and my kids but recently I'm not able to pay my contracts on it, it keeps telling me to contact my bank and come back and try again after I have spoken to them. I have done that their is no problem with my card or my account and yet I still can't pay through the o2 app 😕    ",
